org1,org2,org3,org4,org5,org6,branch,fiscal_year,depth,amount_usd,prior_secondary_usd,prior_tertiary_usd,snapshot_date,source_url
BUDGETED ANNUAL FUNDS,GENERAL FUND - TOWN,TREASURER/COLLECTOR,PNLTY/INT ON TAX/EXC,PEN & INT - TAX LIENS (TITLES),PEN & INT - TAX LIENS (TITLES),revenue,FY2026,6,30000.0,0,30000.0,2026-06-10,https://townofmarblehead-ma-ob.budget.socrata.com/#!/year/2026
BUDGETED ANNUAL FUNDS,GENERAL FUND - TOWN,WASTE COLLECTION,CHRG SVC OTHER,LANDSCAPE FEES,TRANSFER STA-LANDSCAPE FEES,revenue,FY2026,6,30000.0,0,30000.0,2026-06-10,https://townofmarblehead-ma-ob.budget.socrata.com/#!/year/2026
OTHER FUNDS,ROAD SAFETY GRANT,POLICE,FEDERAL GRANTS,FEDERAL REVENUE PASS THROUGH,FEDERAL REV - 2026 GRANT,revenue,FY2026,6,26669.0,0,26669.0,2026-06-10,https://townofmarblehead-ma-ob.budget.socrata.com/#!/year/2026
BUDGETED ANNUAL FUNDS,GENERAL FUND - TOWN,WASTE COLLECTION,OTHER DEPT REVENUE,SALE OF RECYCL MATERIAL,W/C-SALE OF RECYCL MATERIAL,revenue,FY2026,6,26000.0,13235.3,26000.0,2026-06-10,https://townofmarblehead-ma-ob.budget.socrata.com/#!/year/2026
BUDGETED ANNUAL FUNDS,HARBOR ENTERPRISE OPERATING,HARBOR,CHRG SVC OTHER,RING CHARGE,RING CHARGE,revenue,FY2026,6,22000.0,53246.0,22000.0,2026-06-10,https://townofmarblehead-ma-ob.budget.socrata.com/#!/year/2026
BUDGETED ANNUAL FUNDS,GENERAL FUND - TOWN,TREASURER/COLLECTOR,FEES,CERTIFICATES-TAX COLLECTOR,T/C-CERTIFICATES-TAX COLLECTOR,revenue,FY2026,6,20000.0,15875.0,20000.0,2026-06-10,https://townofmarblehead-ma-ob.budget.socrata.com/#!/year/2026
BUDGETED ANNUAL FUNDS,GENERAL FUND - TOWN,BUILDING INSPECTION,LICENSES AND PERMITS,GAS PERMIT,BI-GAS PERMIT,revenue,FY2026,6,20000.0,17400.0,20000.0,2026-06-10,https://townofmarblehead-ma-ob.budget.socrata.com/#!/year/2026
OTHER FUNDS,COA TRANSPORTATION GRANT,COUNCIL ON AGING,STATE GRANTS,STATE REVENUE,STATE REVENUE-2026 GRANT,revenue,FY2026,6,20000.0,0,0,2026-06-10,https://townofmarblehead-ma-ob.budget.socrata.com/#!/year/2026
BUDGETED ANNUAL FUNDS,GENERAL FUND - TOWN,SELECT BOARD,LICENSES AND PERMITS,LIQUOR LICENSE,SEL-LIQUOR LICENSE,revenue,FY2026,6,17000.0,56153.0,17000.0,2026-06-10,https://townofmarblehead-ma-ob.budget.socrata.com/#!/year/2026
BUDGETED ANNUAL FUNDS,GENERAL FUND - TOWN,WASTE COLLECTION,CHRG SVC OTHER,BRUSH FEES,TRANSFER STA-BRUSH FEES,revenue,FY2026,6,15000.0,0,15000.0,2026-06-10,https://townofmarblehead-ma-ob.budget.socrata.com/#!/year/2026
BUDGETED ANNUAL FUNDS,GENERAL FUND - TOWN,FIRE,LICENSES AND PERMITS,SMOKE DETECTOR PERMIT,FIRE-SMOKE DETECTOR PERMIT,revenue,FY2026,6,14000.0,7850.0,14000.0,2026-06-10,https://townofmarblehead-ma-ob.budget.socrata.com/#!/year/2026
BUDGETED ANNUAL FUNDS,HARBOR ENTERPRISE OPERATING,HARBOR,LICENSES AND PERMITS,FLOAT PERMIT,HM  -FLOAT PERMIT,revenue,FY2026,6,14000.0,26991.87,14000.0,2026-06-10,https://townofmarblehead-ma-ob.budget.socrata.com/#!/year/2026
BUDGETED ANNUAL FUNDS,HARBOR ENTERPRISE OPERATING,HARBOR,CHRG SVC OTHER,PHOTOCOPIES,PHOTOCOPIES - HARBOR,revenue,FY2026,6,13000.0,0,13000.0,2026-06-10,https://townofmarblehead-ma-ob.budget.socrata.com/#!/year/2026
BUDGETED ANNUAL FUNDS,HARBOR ENTERPRISE OPERATING,HARBOR,INVESTMENT INCOME,INVESTMENT INCOME,INVESTMENT INCOME,revenue,FY2026,6,13000.0,38897.59,13000.0,2026-06-10,https://townofmarblehead-ma-ob.budget.socrata.com/#!/year/2026
