dor_code,municipality,fiscal_year,taxes,service_charges,licenses_permits,federal_revenue,state_revenue,other_govt_revenue,special_assessments,fines,miscellaneous,other_financing,transfers,total_revenues
168,Marblehead,2015,"62,590,941","690,010","780,713","199,434","6,663,557","17,743",0,"113,902","263,246",0,"1,264,045","72,583,591"
178,Melrose,2015,"55,327,680","284,223","3,689,076",0,"13,592,944",0,"7,378","147,138","11,589",0,"5,462,737","78,522,765"
198,Natick,2015,"105,751,913","3,580,618","2,773,909",0,"12,628,089","95,231","14,334","114,866","676,382",0,"5,992,854","131,628,196"
199,Needham,2015,"119,706,003","1,642,090","1,702,030",0,"10,572,435","63,828","3,182","140,470","956,501",0,"2,409,518","137,196,057"
284,Stoneham,2015,"48,286,813","1,678,687","705,472",0,"8,474,768","41,156",0,"23,350","25,029",0,"1,091,986","60,327,261"
291,Swampscott,2015,"48,495,902","771,991","464,636",0,"4,394,371","1,336,046",0,"91,145","494,309",0,"820,000","56,868,400"
317,Wellesley,2015,"125,397,987","769,712","2,536,758",0,"9,007,368",0,0,"567,836","500,831",0,"2,418,711","141,199,203"
344,Winchester,2015,"78,140,797","2,694,515","1,513,204",0,"9,686,891",0,"27,146","34,297","682,351",0,"6,551,551","99,330,752"
010,Arlington,2014,"106,878,493","638,811","3,203,233",0,"20,105,875","45,828",0,"469,477","86,767",0,"1,814,607","133,243,091"
046,Brookline,2014,"184,993,291","4,961,280","3,676,560",0,"16,632,866","6,727",0,"4,317,013","1,654,232","627,711","6,852,688","223,722,368"
065,Cohasset,2014,"33,200,350","1,149,380","630,206","57,195","3,610,688","6,463","443,746","45,873","68,468",0,"798,322","40,010,691"
082,Duxbury,2014,"55,738,625","2,655,530","2,503,120","34,219","5,788,004",0,0,"76,123","433,600","25,304","234,156","67,488,681"
100,Framingham,2014,"180,997,420","2,476,926","2,997,458","1,544,143","45,250,226","99,266",0,"358,416","2,107,150","3,419,390","2,874,564","242,124,959"
131,Hingham,2014,"75,017,547","1,322,533","1,401,962",0,"9,319,130",0,"245,666","111,677","237,305","710,423","822,803","89,189,046"
155,Lexington,2014,"155,243,553","2,602,633","1,689,264",0,"11,009,443","5,836","103,086","370,964","2,010,479",0,"2,277,405","175,312,663"
168,Marblehead,2014,"59,982,752","749,636","723,707","417,114","6,904,173","18,906",0,"127,456","284,868",0,"1,092,525","70,301,137"
178,Melrose,2014,"53,611,023","279,196","3,696,447",0,"13,395,897",0,"8,899","134,564","4,226",0,"5,696,856","76,827,108"
198,Natick,2014,"100,848,080","3,625,180","1,484,747",0,"12,170,791","101,867","13,361","129,458","583,674",0,"6,859,288","125,816,446"
199,Needham,2014,"111,904,870","1,696,102","2,306,750",0,"10,314,584","71,853","1,594","122,991","469,884",0,"2,621,093","129,509,721"
284,Stoneham,2014,"46,400,701","2,972,117","782,203","132,658","8,622,848","48,737",0,"23,345","25,019",0,"975,112","59,982,740"
291,Swampscott,2014,"46,365,466","610,465","869,725",0,"4,167,647","1,837,277",0,"76,585","194,725",0,"802,000","54,923,890"
317,Wellesley,2014,"118,232,028","773,675","2,709,085",0,"9,001,050","527,202",0,0,"475,767",0,"1,338,218","133,057,025"
344,Winchester,2014,"75,355,143","2,653,880","1,401,033","80,605","9,484,047",0,"28,660","40,235","534,423",0,"5,372,704","94,950,730"
010,Arlington,2013,"102,622,977","665,271","3,246,643","109,932","17,716,588","54,935",0,"430,325","82,946","2,205,000","815,507","127,950,124"
046,Brookline,2013,"178,546,072","4,782,401","3,553,319",0,"15,420,939","8,055",0,"4,367,924","1,847,612","6,715,000","9,772,016","225,013,338"
065,Cohasset,2013,"32,331,914","1,128,077","635,422",0,"3,154,688",300,"434,905","36,348","94,036","6,661","742,394","38,564,745"
082,Duxbury,2013,"47,454,262","2,695,537","2,387,054","98,606","5,475,138",0,0,"63,737","7,170,608","36,770","220,308","65,602,020"
100,Framingham,2013,"174,508,561","2,358,024","2,195,674","1,982,972","40,526,343","94,837",0,"307,760","1,188,713","3,025,783","2,781,821","228,970,488"
131,Hingham,2013,"71,769,250","1,326,355","1,354,520","65,657","9,663,054",0,"222,159","141,919","225,257","326,316","741,193","85,835,680"
155,Lexington,2013,"147,853,708","2,260,911","1,698,028",0,"9,623,394","4,700","24,312","331,284","777,872",0,"2,288,052","164,862,261"
168,Marblehead,2013,"57,910,750","781,582","676,787","54,564","6,097,266","11,195",0,"140,448","249,066",0,"1,007,208","66,928,866"
178,Melrose,2013,"51,579,387","248,550","3,176,606",0,"13,060,555",0,"9,379","141,109","7,558",0,"5,766,203","73,989,347"
198,Natick,2013,"96,318,593","3,516,722","1,847,847","219,161","11,440,476","111,557","15,466","81,549","912,482",0,"4,013,392","118,477,245"
199,Needham,2013,"105,586,716","1,777,447","1,869,446",0,"9,903,913","91,045","1,594","128,516","1,587,761",0,"2,432,360","123,378,798"
284,Stoneham,2013,"43,715,070","3,106,529","788,265",0,"8,155,476","55,247",0,"28,558","33,920",0,"877,643","56,760,708"
291,Swampscott,2013,"45,329,959","616,121","260,969",0,"3,915,836","653,097",0,"73,955","285,928",0,"802,000","51,937,865"
